Curriculum ID,Curriculum Title,Domain ID,Domain Description,Active,Date Created,Curriculum Description,Force Incomplete,Item Type,Item ID,Item Revision Date,Revision Number,Item Title,Assignment Type,Initial Period (Item),Initial Number (Item),Initial Basis (Item),Retraining Period (Item),Retraining Number (Item),Retraining Basis (Item),Effective Date,Job Code ID,Job Description,Requirement (Requirements),Initial Period (Requirement),Initial Number (Requirement),Initial Basis (Requirement),Retraining Period (Requirement),Retraining Number (Requirement),Retraining Basis (Requirement),Requirement (Requirement Group),Initial Period (Requirement Group),Initial Number (Requirement Group),Initial Basis (Requirement Group),Retraining Period (Requirement Group),Retraining Number (Requirement Group),Retraining Basis (Requirement Group),Requirement (Group Requirements),Description,Document ID,Document Title,Review Flag,Sub-Curriculum ID,Sub-Curriculum Title,Sub-Curriculum Parent ID,Sub-Curriculum Level
PGM-RMT-QACQ_ANALYSTDR,PGM-RMT-QACQ_ANALYSTDR: Analyst Data Review Training in the CQ Laboratory,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,OJT,PGM-RMT-QACQ_ANALYSTDR_TQ,3/27/2017 12:00 AM America/New York,1,Analyst Data Review in the CQ Laboratory ask Qualification,Required,Days,90,Event,,,,3/28/2017,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_ANALYSTDR,PGM-RMT-QACQ_ANALYSTDR: Analyst Data Review Training in the CQ Laboratory,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QACQ_S6120_0219,8/8/2019 11:29 AM America/New York,9,Laboratory Testing and Data Review,Required,Days,90,Event,Days,730,Event,8/27/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_ANALYSTDR,PGM-RMT-QACQ_ANALYSTDR: Analyst Data Review Training in the CQ Laboratory,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-QACQ_S6120_0304,8/8/2019 11:20 AM America/New York,6,Logbook Procedures in the Chemical Quality CQ Laboratories,Required,Days,90,Event,Days,730,Event,8/27/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_ANALYSTDR,PGM-RMT-QACQ_ANALYSTDR: Analyst Data Review Training in the CQ Laboratory,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QACQ_S6120_0302,8/8/2019 04:23 PM America/New York,6,"Labeling and Expiration Dating of Laboratory Reagents, Solutions and Standard Solutions",Required,Days,90,Event,Days,730,Event,8/27/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_ANALYSTDR,PGM-RMT-QACQ_ANALYSTDR: Analyst Data Review Training in the CQ Laboratory,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-QACQ_S6120_0300,8/8/2019 12:03 PM America/New York,9,Use of Laboratory Notebooks in the CQ Laboratory,Required,Days,90,Event,Days,730,Event,8/27/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_ANTON_PAAR,PGM-RMT-QACQ_ANTON_PAAR: Operation of ANTON PAAR Density Meter,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-QACQ_S6120_0319,3/21/2019 09:02 AM America/New York,2,Operation and Maintenance of the Anton PAAR Density Meter DMA 5000 M,Required,Days,90,Event,Days,730,Event,4/9/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_API_REQ,PGM-RMT-QACQ_API_REQ: CQ General Requirements for API,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QACQ_S6120_0169,6/20/2017 12:00 PM America/New York,2,API and Excipient Retain Samples,Required,Days,90,Event,Days,730,Event,7/10/2017,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_API_REQ,PGM-RMT-QACQ_API_REQ: CQ General Requirements for API,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-QACQ_S6120_0119,4/5/2018 11:47 AM America/New York,3,Preparation of Chemical Batch Records for API Testing Area,Required,Days,90,Event,Days,730,Event,4/25/2018,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_API_REQ,PGM-RMT-QACQ_API_REQ: CQ General Requirements for API,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,SOP,PGM-RMT-QATS_S6133_0034,7/30/2019 11:40 AM America/New York,3,Use and Maintenance of the Quality Auxiliary Form System,Required,Days,90,Event,Days,730,Event,8/20/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
PGM-RMT-QACQ_API_REQ,PGM-RMT-QACQ_API_REQ: CQ General Requirements for API,PGM-ROCKY MOUNT,PGM Rocky Mount - US,Yes,4/11/2017,,No,COURSE,PGM-RMT-QACQ_S6120_0001,8/6/2019 07:12 AM America/New York,6,Standard Procedure for Chemical Testing of API and Excipients,Required,Days,90,Event,Days,730,Event,8/27/2019,,, ,,,,,,, ,,,,,,, ,,,,,,,,1
